Word,negative,positive,neutral,norm_valence
convincingly,1.6,0.66332,"[3, 2, 1, 1, 1, 2, 2, 1, 2, 1]",0.7
forgiver,1.7,0.78102,"[3, 1, 1, 3, 1, 2, 1, 2, 2, 1]",0.7125
disagreeably,-1.5,0.67082,"[-3, -2, -1, -1, -1, -2, -1, -2, -1, -1]",0.3125
insulter,-2.0,0.63246,"[-2, -1, -2, -2, -1, -3, -3, -2, -2, -2]",0.25
death,-2.9,1.04403,"[-3, -4, -4, -3, -3, -1, -1, -4, -3, -3]",0.1375
|-o,-1.2,0.9798,"[-1, 0, -1, -1, -1, -1, -1, -4, -1, -1]",0.35
creditabilities,1.4,1.28062,"[0, 3, -1, 2, 2, 2, 1, 2, 0, 3]",0.675
trivially,0.4,1.56205,"[-1, -1, -1, -1, 0, 3, 0, 2, 3, 0]",0.55
distractibility,-1.3,1.1,"[-1, -1, -3, -1, 0, -3, -2, 0, -2, 0]",0.3375
nurturance,1.6,0.8,"[1, 2, 1, 1, 3, 0, 2, 2, 2, 2]",0.7
suckers,-2.3,1.00499,"[-2, -1, -2, -4, -1, -2, -3, -2, -4, -2]",0.21250000000000002
stimulating,1.9,0.7,"[2, 3, 2, 1, 3, 2, 1, 2, 1, 2]",0.7375
fearfulness,-1.8,0.87178,"[-1, -1, -1, -2, -2, -1, -4, -2, -2, -2]",0.275
wisecracking,-0.6,0.4899,"[0, 0, -1, 0, -1, 0, -1, -1, -1, -1]",0.425
unsupported,-1.7,0.78102,"[-2, 0, -3, -2, -2, -1, -2, -2, -1, -2]",0.2875
opportunists,0.3,1.34536,"[0, -1, -1, 2, 1, 3, -1, -1, 1, 0]",0.5375
stronger,1.6,0.66332,"[2, 1, 1, 1, 2, 3, 2, 1, 2, 1]",0.7
freehearted,1.5,0.67082,"[2, 0, 1, 2, 2, 2, 2, 1, 1, 2]",0.6875
risks,-1.1,0.9434,"[-1, 0, -1, -1, 0, 0, -2, -1, -3, -2]",0.3625
damns,-2.2,0.74833,"[-2, -3, -2, -1, -3, -2, -1, -2, -3, -3]",0.22499999999999998
tout,-0.5,0.67082,"[-1, 0, -2, -1, 0, 0, -1, 0, 0, 0]",0.4375
god,1.1,1.51327,"[0, 0, 0, 1, 0, 3, 0, 3, 0, 4]",0.6375
honouring,2.1,0.3,"[2, 2, 2, 3, 2, 2, 2, 2, 2, 2]",0.7625
hacked,-1.7,1.00499,"[-2, -1, -2, -4, 0, -2, -2, -1, -1, -2]",0.2875
livelihood,0.8,1.07703,"[0, 3, 1, 0, 2, 2, 0, 0, 0, 0]",0.6
ardent,2.1,0.7,"[3, 3, 2, 2, 3, 1, 2, 2, 1, 2]",0.7625
lowermost,-1.4,1.11355,"[-1, -1, -3, -1, -1, -1, -2, -3, 1, -2]",0.325
comforts,2.1,0.7,"[3, 1, 3, 1, 2, 2, 3, 2, 2, 2]",0.7625
unapproved,-1.4,0.4899,"[-1, -1, -1, -2, -2, -1, -2, -2, -1, -1]",0.325
looms,-0.6,1.0198,"[-1, -2, -1, -1, 0, 0, 1, -2, 1, -1]",0.425
grieves,-2.1,0.9434,"[-3, -3, -3, -2, -3, -3, -1, -1, -1, -1]",0.2375
merriments,2.0,0.89443,"[2, 2, 3, 3, 0, 2, 2, 1, 2, 3]",0.75
viciousnesses,-0.6,1.62481,"[0, -1, -1, -3, 0, -3, 2, 1, 1, -2]",0.425
gorgeously,2.3,0.78102,"[2, 2, 2, 3, 1, 2, 4, 3, 2, 2]",0.7875
comedian,1.6,1.0198,"[1, 0, 2, 3, 2, 0, 3, 1, 2, 2]",0.7
inferior,-1.7,0.78102,"[-1, -2, -2, -1, -1, -3, -2, -1, -1, -3]",0.2875
cheerfulness,2.1,0.9434,"[3, 2, 1, 2, 3, 4, 1, 2, 1, 2]",0.7625
lowed,-0.8,0.6,"[0, -1, -1, -2, -1, 0, -1, 0, -1, -1]",0.4
blocking,-1.6,0.91652,"[-1, -1, -1, -1, -2, -2, -4, -1, -2, -1]",0.3
bastardly,-2.7,0.64031,"[-3, -3, -2, -2, -3, -2, -2, -4, -3, -3]",0.16249999999999998
feudally,-0.6,0.66332,"[0, 0, -1, -1, 0, -1, 0, -1, -2, 0]",0.425
interestedly,1.5,0.67082,"[2, 2, 2, 1, 2, 1, 2, 1, 0, 2]",0.6875
jollies,2.0,0.63246,"[1, 2, 3, 2, 2, 2, 1, 2, 2, 3]",0.75
bittersweetness,-0.6,0.91652,"[0, 0, 0, -2, 0, -2, 0, 0, -2, 0]",0.425
abusivenesses,-3.0,0.63246,"[-3, -3, -4, -3, -4, -2, -2, -3, -3, -3]",0.125
harmonizes,1.5,0.92195,"[0, 2, 2, 2, 0, 1, 1, 2, 3, 2]",0.6875
acceptations,0.9,0.83066,"[1, 2, 0, 2, 0, 1, 0, 2, 1, 0]",0.6125
villainous,-2.0,0.63246,"[-3, -2, -1, -2, -2, -2, -2, -1, -2, -3]",0.25
fantastic,2.6,0.91652,"[1, 3, 3, 3, 2, 4, 4, 2, 2, 2]",0.825
chuckle,1.7,0.45826,"[2, 1, 2, 2, 2, 2, 1, 1, 2, 2]",0.7125
disagreeableness,-1.7,0.64031,"[-1, -1, -2, -2, -1, -2, -3, -1, -2, -2]",0.2875
humoristic,1.5,0.80623,"[3, 0, 2, 1, 2, 1, 2, 2, 1, 1]",0.6875
thanks,1.9,1.04403,"[1, 1, 1, 1, 3, 2, 1, 4, 3, 2]",0.7375
murderer,-3.6,0.4899,"[-4, -3, -3, -3, -4, -4, -4, -3, -4, -4]",0.04999999999999999
poisonously,-2.9,0.53852,"[-3, -2, -3, -3, -2, -3, -3, -4, -3, -3]",0.1375
nigger,-3.3,1.18743,"[-4, -4, -4, -4, -4, -4, -1, -3, -1, -4]",0.08750000000000002
interruption,-1.5,0.67082,"[-1, -1, -2, -3, -2, -1, -1, -1, -2, -1]",0.3125
grimalkin,-0.9,1.04403,"[-1, -2, -1, 1, -2, -2, -1, -1, 1, -1]",0.3875
richly,1.9,0.53852,"[2, 2, 2, 2, 3, 1, 2, 2, 1, 2]",0.7375
favour,1.9,0.53852,"[2, 1, 2, 3, 2, 2, 2, 1, 2, 2]",0.7375
forgiving,1.9,0.7,"[2, 3, 2, 1, 2, 3, 1, 1, 2, 2]",0.7375
abuser,-2.6,0.4899,"[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]",0.175
intelligibility,1.5,0.80623,"[2, 2, 0, 2, 2, 1, 2, 0, 2, 2]",0.6875
aches,-1.0,0.7746,"[-1, -2, -1, -1, -1, 1, -2, -1, -1, -1]",0.375
compassionately,1.7,1.41774,"[1, 3, 3, 2, 1, 2, 3, 2, -2, 2]",0.7125
repressive,-1.4,1.11355,"[-3, -1, -1, -2, -1, -3, 1, -2, -1, -1]",0.325
helplessness,-2.1,0.9434,"[-2, -4, -1, -2, -1, -3, -3, -2, -1, -2]",0.2375
wimp,-1.4,1.28062,"[-2, -3, -1, -2, -1, -2, -2, -1, 2, -2]",0.325
delicately,1.0,1.26491,"[1, 1, 2, 0, 1, 3, -1, 2, -1, 2]",0.625
alas,-1.1,1.22066,"[-1, -2, -1, 0, -1, 0, 1, -3, -1, -3]",0.3625
raptures,0.7,2.05183,"[0, -2, 0, 2, 4, -2, 4, -1, 1, 1]",0.5875
profiter,0.7,1.55242,"[2, 2, 2, 1, -1, 1, -1, 3, 0, -2]",0.5875
violating,-2.5,0.92195,"[-2, -3, -3, -1, -3, -2, -4, -1, -3, -3]",0.1875
obliterate,-2.9,0.83066,"[-3, -4, -3, -3, -3, -3, -2, -1, -4, -3]",0.1375
herons,0.5,1.0247,"[0, 0, 0, 3, 0, 2, 0, 0, 0, 0]",0.5625
impolitenesses,-2.3,0.78102,"[-3, -2, -2, -1, -1, -3, -3, -2, -3, -3]",0.21250000000000002
impressment,-0.4,1.85472,"[-2, 1, 3, -2, -1, -3, 0, 0, 2, -2]",0.45
chuckler,0.8,1.07703,"[2, 1, -1, 0, 2, 1, 1, 2, -1, 1]",0.6
perfectionism,1.3,1.26886,"[3, -1, 2, 1, 2, 2, 2, -1, 1, 2]",0.6625
excruciations,-1.9,1.51327,"[-3, -3, -2, -4, -1, -1, 1, -4, -1, -1]",0.2625
destruction,-2.7,0.9,"[-4, -3, -4, -3, -2, -2, -3, -1, -2, -3]",0.16249999999999998
devoted,1.7,1.34536,"[2, -1, 3, 2, 1, 0, 1, 3, 3, 3]",0.7125
exhaust,-1.2,0.87178,"[0, -1, 0, -1, -1, -3, -2, -2, -1, -1]",0.35
stressfully,-2.6,0.66332,"[-2, -3, -1, -3, -3, -3, -3, -2, -3, -3]",0.175
fearing,-2.7,0.9,"[-3, -3, -3, -2, -4, -2, -1, -3, -2, -4]",0.16249999999999998
exciton,0.3,0.64031,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.5375
villainously,-2.9,0.53852,"[-3, -3, -3, -3, -3, -4, -2, -3, -2, -3]",0.1375
peaces,2.1,0.83066,"[2, 2, 2, 2, 3, 0, 3, 3, 2, 2]",0.7625
weepers,-1.1,1.13578,"[-2, -2, -1, -2, -1, 1, -2, 1, -1, -2]",0.3625
gossiping,-1.6,0.4899,"[-1, -2, -1, -2, -1, -2, -2, -1, -2, -2]",0.3
misericorde,0.1,1.64012,"[1, 1, -1, 2, 1, 2, -3, -1, -2, 1]",0.5125
amoralisms,-0.7,1.00499,"[-2, 0, 1, -1, -2, -1, -1, 1, -1, -1]",0.4125
easygoingness,1.5,0.67082,"[1, 2, 1, 2, 1, 3, 1, 2, 1, 1]",0.6875
ridiculousness,-1.1,1.51327,"[-1, -1, -1, -2, -1, 3, -3, -2, -1, -2]",0.3625
offences,-1.4,1.49666,"[-2, -2, -4, -1, -2, -2, -1, 0, 2, -2]",0.325
prickled,-0.2,1.53623,"[-1, -1, 3, -1, -2, 2, 0, 0, 0, -2]",0.475
legal,0.5,0.80623,"[0, 0, 0, 2, 0, 1, 0, 0, 2, 0]",0.5625
stealings,-1.9,0.9434,"[-2, -2, -1, -1, -1, -3, -4, -2, -1, -2]",0.2625
loathes,-1.9,1.13578,"[-1, -4, -1, -3, -3, -1, -1, -3, -1, -1]",0.2625
uglified,-1.5,0.67082,"[-1, -1, -3, -2, -2, -1, -1, -1, -2, -1]",0.3125
thrills,1.5,0.92195,"[2, 3, 1, 2, 0, 2, 1, 0, 2, 2]",0.6875
engager,1.1,0.7,"[1, 1, 0, 2, 1, 0, 2, 1, 2, 1]",0.6375
unsophisticated,-1.2,0.87178,"[-1, -1, -1, -2, -2, -2, -1, -2, 1, -1]",0.35
sentimentalist,0.8,0.87178,"[2, 1, 0, 2, 0, 1, 2, 0, 0, 0]",0.6
engaged,1.7,1.1,"[1, 1, 2, 2, 1, 0, 2, 3, 4, 1]",0.7125
suspend,-1.3,0.64031,"[0, -2, -1, -2, -1, -1, -2, -1, -2, -1]",0.3375
bitterer,-1.9,1.04403,"[-1, -2, -3, -1, -1, -4, -3, -1, -2, -1]",0.2625
morons,-1.3,1.1,"[-1, -1, -1, 0, -3, -2, 0, 0, -2, -3]",0.3375
rancidnesses,-1.6,0.4899,"[-2, -1, -2, -1, -1, -2, -2, -2, -1, -2]",0.3
devotionals,1.2,1.07703,"[3, 1, 1, 0, -1, 2, 2, 2, 1, 1]",0.65
angered,-2.3,0.78102,"[-2, -3, -2, -4, -2, -2, -3, -2, -2, -1]",0.21250000000000002
angrily,-1.8,0.4,"[-2, -1, -2, -2, -2, -1, -2, -2, -2, -2]",0.275
festive,2.0,0.63246,"[2, 3, 2, 3, 1, 2, 2, 2, 1, 2]",0.75
pricking,-0.9,1.22066,"[-2, -1, -2, 2, -2, -2, -1, 0, -1, 0]",0.3875
passionate,2.4,1.35647,"[0, 4, 3, 3, 4, 2, 0, 2, 3, 3]",0.8
relaxins,1.2,1.4,"[1, 3, 2, 1, 0, 1, -2, 3, 2, 1]",0.65
snobbily,-1.6,1.11355,"[-1, -2, -2, -2, -1, -3, -3, -1, 1, -2]",0.3
radiances,1.1,0.53852,"[1, 2, 2, 1, 1, 1, 0, 1, 1, 1]",0.6375
bizarre,-1.3,1.00499,"[-2, 0, 0, -2, 0, -1, -3, -2, -1, -2]",0.3375
moodier,-1.1,1.13578,"[-2, -1, -1, -1, -2, -1, -2, 2, -1, -2]",0.3625
pities,-1.2,1.249,"[-2, -1, -2, -3, -1, -1, 1, 1, -2, -2]",0.35
sluts,-2.7,1.48661,"[-3, -3, -4, -4, -3, -4, -1, -3, 1, -3]",0.16249999999999998
unsure,-1.0,0.44721,"[-1, -1, -1, -1, 0, -2, -1, -1, -1, -1]",0.375
amazes,2.2,0.9798,"[1, 0, 3, 2, 2, 3, 3, 3, 2, 3]",0.775
brutalities,-2.6,1.0198,"[-4, -2, -2, -4, -2, -4, -2, -3, -1, -2]",0.175
dearie,2.2,0.6,"[2, 2, 2, 3, 2, 1, 3, 2, 3, 2]",0.775
comedones,-0.8,0.9798,"[0, 0, 0, -1, 0, -3, 0, -1, -1, -2]",0.4
feared,-2.2,0.6,"[-2, -3, -2, -1, -3, -2, -3, -2, -2, -2]",0.22499999999999998
classy,1.9,0.53852,"[1, 2, 2, 1, 3, 2, 2, 2, 2, 2]",0.7375
calmatives,0.5,0.80623,"[-1, 1, 0, 1, 0, 0, 1, 2, 0, 1]",0.5625
freaky,-1.5,1.20416,"[-2, -2, -2, -2, -1, -2, 2, -2, -2, -2]",0.3125
unworthy,-2.0,0.44721,"[-3, -2, -2, -2, -2, -2, -1, -2, -2, -2]",0.25
amoretto,0.6,0.8,"[0, 1, 0, 1, 0, 0, 2, 0, 0, 2]",0.575
charged,-0.8,0.87178,"[-1, -2, -2, -1, -1, 0, -1, 1, 0, -1]",0.4
moaned,-0.4,1.35647,"[-2, 0, -3, 0, -1, -1, 2, 1, 0, 0]",0.45
foreclosures,-2.4,0.66332,"[-3, -2, -3, -2, -3, -3, -1, -2, -2, -3]",0.2
idealizes,2.0,1.0,"[3, 2, 2, 1, 4, 2, 2, 0, 2, 2]",0.75
feuding,-1.6,0.66332,"[-2, -1, -2, -2, -1, -1, -3, -1, -2, -1]",0.3
intense,0.3,0.45826,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",0.5375
geeks,-0.4,0.91652,"[0, 0, -1, 0, 0, 0, 0, 0, -3, 0]",0.45
excitant,1.8,1.16619,"[1, 0, 1, 3, 2, 0, 3, 3, 2, 3]",0.725
vested,0.6,1.28062,"[2, -2, 1, 3, 1, 0, 0, 1, 0, 0]",0.575
virulent,-2.7,0.64031,"[-3, -2, -4, -2, -3, -3, -2, -3, -2, -3]",0.16249999999999998
rudeness,-1.5,0.67082,"[-2, -1, -1, -1, -1, -3, -2, -2, -1, -1]",0.3125
suspects,-1.4,0.91652,"[-2, -2, -2, -1, -2, -1, -2, -2, 1, -1]",0.325
undecided,-0.9,0.9434,"[-1, 0, -1, 0, -1, -1, -2, 0, -3, 0]",0.3875
dearness,2.0,0.7746,"[1, 1, 2, 3, 2, 2, 2, 3, 1, 3]",0.75
devilled,-2.3,1.1,"[-3, -1, -2, -3, 0, -4, -2, -3, -2, -3]",0.21250000000000002
surprised,0.9,0.9434,"[2, 0, 0, 0, 0, 2, 2, 1, 2, 0]",0.6125
foolfishes,-0.4,0.4899,"[-1, -1, -1, 0, 0, 0, 0, 0, 0, -1]",0.45
divining,0.9,1.37477,"[0, -1, 2, 0, 1, 0, 2, 4, 1, 0]",0.6125
wiseguys,0.3,1.9,"[4, -1, 1, -1, 1, 2, 2, -2, -2, -1]",0.5375
swiftly,1.2,0.9798,"[0, 3, 1, 0, 1, 1, 1, 3, 1, 1]",0.65
nosey,-0.8,1.16619,"[-2, -2, -2, 1, -1, -1, 0, 1, 0, -2]",0.4
solemnized,-0.7,0.9,"[0, 0, 0, -1, -1, -1, -1, 0, 0, -3]",0.4125
fired,-2.6,0.91652,"[-2, -3, -4, -3, -3, -1, -3, -3, -1, -3]",0.175
smugger,-1.0,0.89443,"[1, -2, -1, -2, -1, -1, -1, 0, -2, -1]",0.375
victimizers,-1.6,1.68523,"[-3, -2, -3, 1, -3, -1, -2, 2, -2, -3]",0.3
drunk,-1.4,0.91652,"[-3, -1, 0, -2, 0, -1, -1, -2, -2, -2]",0.325
tops,2.3,1.00499,"[3, 3, 3, 0, 2, 2, 3, 3, 1, 3]",0.7875
slam,-1.6,1.11355,"[-2, -1, -3, -1, -3, -2, -1, -2, 1, -2]",0.3
suspended,-2.1,0.83066,"[-2, -1, -2, -3, -3, -1, -3, -1, -2, -3]",0.2375
marvel,1.8,0.6,"[2, 1, 1, 2, 1, 2, 3, 2, 2, 2]",0.725
toughly,-1.1,0.83066,"[-1, 0, 0, -1, 0, -1, -2, -2, -2, -2]",0.3625
festively,2.2,0.6,"[2, 2, 3, 1, 3, 2, 3, 2, 2, 2]",0.775
reliant,0.5,1.20416,"[0, 2, -1, 1, 0, 1, 2, -1, 2, -1]",0.5625
freewheelers,-0.3,1.00499,"[-2, 0, 0, 0, 2, -1, -1, 0, -1, 0]",0.4625
confrontations,-1.5,1.0247,"[-1, -3, -2, -1, -3, 0, -2, -2, 0, -1]",0.3125
solemnifying,0.1,1.3,"[2, -1, 0, -3, 0, 1, 1, 1, 0, 0]",0.5125
advantageous,1.5,0.67082,"[2, 0, 2, 2, 2, 1, 1, 1, 2, 2]",0.6875
ruination,-2.7,1.00499,"[-4, -4, -3, -3, -2, -1, -3, -3, -3, -1]",0.16249999999999998
repressions,-1.7,1.00499,"[-2, -3, -1, -2, -2, -3, -2, 0, 0, -2]",0.2875
naggier,-1.4,1.11355,"[-2, -3, -2, -2, 1, -1, -2, -1, 0, -2]",0.325
lowliness,-1.1,0.53852,"[-1, -2, -1, -2, -1, -1, -1, 0, -1, -1]",0.3625
pisser,-2.0,1.09545,"[-2, -4, -1, -3, -2, -3, -1, -2, -2, 0]",0.25
gracioso,1.0,0.63246,"[2, 2, 1, 1, 1, 1, 0, 1, 0, 1]",0.625
destroyers,-2.3,0.78102,"[-1, -3, -3, -3, -2, -2, -3, -3, -1, -2]",0.21250000000000002
neglecting,-1.7,0.78102,"[-2, -1, -3, -2, -1, -3, -1, -1, -2, -1]",0.2875
poisoning,-2.8,1.249,"[-4, -4, -2, 0, -2, -3, -4, -3, -2, -4]",0.15000000000000002
benefits,1.6,0.4899,"[2, 2, 2, 1, 2, 1, 2, 2, 1, 1]",0.7
actives,1.1,0.7,"[2, 1, 0, 1, 1, 0, 1, 1, 2, 2]",0.6375
darlingly,1.6,0.66332,"[1, 1, 2, 3, 1, 1, 2, 2, 2, 1]",0.7
defensibility,0.4,1.56205,"[1, -2, 1, 0, 4, 0, -1, 1, -1, 1]",0.55
goddams,-1.9,1.92094,"[-3, -3, -2, -4, -4, -2, -3, -1, 2, 1]",0.2625
disillusions,-1.6,0.4899,"[-2, -2, -2, -1, -1, -1, -2, -2, -1, -2]",0.3
excitabilities,1.5,1.0247,"[2, 0, 1, 1, 3, 1, 2, 3, 2, 0]",0.6875
joyrode,1.0,1.48324,"[4, 0, -2, 0, 2, 1, 2, 1, 1, 1]",0.625
loyally,2.1,0.7,"[3, 2, 2, 2, 1, 3, 1, 2, 3, 2]",0.7625
gloried,2.4,1.0198,"[2, 3, 3, 4, 4, 1, 1, 2, 2, 2]",0.8
adversative,-1.2,0.74833,"[-1, -1, -2, -1, -1, -1, -3, -1, 0, -1]",0.35
tenders,0.6,0.8,"[0, 2, 0, 1, 1, 1, -1, 0, 1, 1]",0.575
destructed,-1.9,1.04403,"[-4, -1, -2, -2, -2, -1, -3, -2, 0, -2]",0.2625
lonesomes,-1.4,0.4899,"[-2, -1, -1, -1, -1, -1, -2, -2, -2, -1]",0.325
attracted,1.8,0.6,"[1, 3, 1, 2, 2, 2, 2, 2, 2, 1]",0.725
disconsolation,-1.7,0.45826,"[-2, -2, -1, -2, -1, -1, -2, -2, -2, -2]",0.2875
perjury,-1.9,0.9434,"[-3, -2, -3, -2, -2, 0, -1, -2, -3, -1]",0.2625
assaulting,-2.3,1.1,"[-4, -3, -2, -1, -2, -1, -1, -4, -3, -2]",0.21250000000000002
sigh,0.1,1.22066,"[2, -1, -1, -1, 0, 2, 1, 1, -1, -1]",0.5125
calmative,1.1,0.9434,"[3, 2, -1, 1, 1, 1, 1, 1, 1, 1]",0.6375
litigious,-0.8,0.9798,"[-2, -1, 0, -2, 0, -2, 1, -1, 0, -1]",0.4
idealisms,0.8,0.9798,"[0, 2, 3, 1, 0, 0, 1, 0, 0, 1]",0.6
lamellibranch,0.2,0.4,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.525
disguise,-1.0,1.09545,"[-2, -1, 0, 0, 0, 0, -3, -2, -2, 0]",0.375
contagions,-1.5,0.92195,"[-2, -2, -2, -2, 1, -2, -1, -1, -2, -2]",0.3125
prizefights,0.3,0.78102,"[1, 2, 0, 0, -1, 0, 0, 1, 0, 0]",0.5375
calmed,1.6,0.4899,"[2, 2, 2, 1, 1, 1, 2, 1, 2, 2]",0.7
contemptuously,-2.4,0.8,"[-1, -3, -2, -3, -3, -2, -1, -3, -3, -3]",0.2
carelessly,-1.0,0.44721,"[-1, -1, -1, -2, -1, 0, -1, -1, -1, -1]",0.375
lown,0.9,1.13578,"[2, 2, 1, -1, 0, 1, 2, -1, 1, 2]",0.6125
sprightly,2.0,0.89443,"[0, 2, 3, 2, 2, 1, 2, 3, 3, 2]",0.75
w00t,2.2,1.32665,"[3, 2, 3, 2, 0, 4, 0, 4, 2, 2]",0.775
stabbed,-1.9,1.22066,"[-2, -1, -3, -2, -2, 1, -3, -3, -1, -3]",0.2625
criticising,-1.7,0.78102,"[-1, -1, -1, -3, -1, -2, -2, -2, -1, -3]",0.2875
cries,-1.7,0.64031,"[-1, -3, -1, -2, -2, -2, -1, -2, -1, -2]",0.2875
diving,0.3,0.45826,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.5375
faulted,-1.4,0.4899,"[-2, -2, -1, -2, -1, -1, -1, -1, -2, -1]",0.325
worsen,-2.3,0.78102,"[-4, -3, -1, -2, -2, -2, -2, -3, -2, -2]",0.21250000000000002
no,-1.2,0.74833,"[-1, -1, -1, -1, -1, -1, 0, -1, -2, -3]",0.35
overreacts,-2.2,0.87178,"[-2, -2, -2, -3, -4, -1, -3, -1, -2, -2]",0.22499999999999998
extend,0.7,0.78102,"[2, 0, 0, 0, 1, 2, 1, 1, 0, 0]",0.5875
tranquilest,1.6,1.35647,"[1, 2, 2, 2, 0, 2, -1, 4, 3, 1]",0.7
prosperous,2.1,1.86815,"[-3, 3, 3, 2, 4, 2, 3, 3, 3, 1]",0.7625
puzzled,-0.7,0.45826,"[0, 0, -1, -1, 0, -1, -1, -1, -1, -1]",0.4125
comforter,1.9,0.53852,"[2, 3, 2, 2, 2, 1, 2, 2, 2, 1]",0.7375
uncertain,-1.2,0.6,"[-2, -1, -2, -1, -1, -1, 0, -1, -2, -1]",0.35
scapegoats,-1.4,0.8,"[-1, -2, -2, -1, 0, -2, -2, 0, -2, -2]",0.325
dirtier,-1.4,0.4899,"[-2, -1, -1, -2, -1, -2, -1, -1, -2, -1]",0.325
apologizes,1.5,0.80623,"[2, 1, 1, 2, 0, 2, 1, 2, 3, 1]",0.6875
attractants,1.4,0.8,"[1, 1, 0, 2, 2, 2, 3, 1, 1, 1]",0.675
blameful,-1.7,0.45826,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -1]",0.2875
aggress,-1.3,1.55242,"[-2, -2, 2, -2, -1, -3, -3, -1, 1, -2]",0.3375
defencemen,0.6,0.91652,"[0, 0, 0, 2, 0, 2, 0, 2, 0, 0]",0.575
remorsefulness,-0.7,1.61555,"[-1, -2, 2, -2, -2, -1, 0, -3, 2, 0]",0.4125
motivate,1.6,0.4899,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]",0.7
partying,1.6,1.11355,"[0, 3, 1, 0, 3, 2, 3, 1, 2, 1]",0.7
assurance,1.4,0.4899,"[1, 1, 2, 2, 1, 1, 1, 2, 2, 1]",0.675
elated,3.2,0.74833,"[2, 4, 4, 3, 4, 3, 3, 2, 3, 4]",0.9
neatening,1.3,0.45826,"[1, 1, 1, 1, 2, 2, 2, 1, 1, 1]",0.6625
champion,2.9,0.83066,"[3, 2, 3, 4, 4, 3, 2, 2, 4, 2]",0.8625
favorite,2.0,0.63246,"[2, 1, 3, 1, 2, 2, 2, 3, 2, 2]",0.75
cruel,-2.8,1.16619,"[-2, -4, -1, -4, -1, -4, -2, -3, -3, -4]",0.15000000000000002
glamors,1.4,0.66332,"[1, 1, 2, 2, 2, 1, 2, 2, 0, 1]",0.675
victimizer,-1.8,1.72047,"[-3, -2, -3, -3, -2, 2, 1, -2, -3, -3]",0.275
ideals,0.8,0.6,"[0, 1, 0, 2, 1, 1, 1, 0, 1, 1]",0.6
melancholic,-0.3,1.18743,"[0, 2, -2, 0, 1, -1, 0, -2, 0, -1]",0.4625
unloving,-2.3,0.45826,"[-2, -3, -2, -3, -2, -2, -2, -3, -2, -2]",0.21250000000000002
merited,1.4,0.4899,"[1, 2, 2, 1, 1, 1, 2, 1, 2, 1]",0.675
adorableness,2.5,0.67082,"[2, 3, 3, 2, 3, 2, 1, 3, 3, 3]",0.8125
favoritism,0.7,1.79165,"[-1, 3, -1, -1, 2, -2, 2, 2, 3, 0]",0.5875
nasturtiums,0.1,0.3,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.5125
violative,-2.4,0.66332,"[-2, -3, -3, -3, -1, -3, -2, -2, -2, -3]",0.2
praisers,2.0,0.63246,"[2, 2, 1, 3, 3, 2, 1, 2, 2, 2]",0.75
secured,1.7,0.78102,"[2, 2, 3, 1, 1, 2, 2, 0, 2, 2]",0.7125
determinate,0.8,0.87178,"[2, 1, 0, 0, 0, 2, 2, 0, 1, 0]",0.6
thanked,1.9,1.22066,"[1, 3, 1, 1, 1, 1, 4, 4, 2, 1]",0.7375
sociability,1.1,0.9434,"[0, 1, 1, 1, 0, 2, 1, 0, 2, 3]",0.6375
visioning,1.1,0.9434,"[1, 2, 0, 0, 3, 0, 1, 1, 2, 1]",0.6375
honour,2.7,0.78102,"[2, 3, 2, 2, 2, 3, 4, 4, 3, 2]",0.8375
respectfulness,1.9,1.37477,"[4, 2, 2, 1, 2, 4, -1, 1, 2, 2]",0.7375
adventuresomeness,1.3,1.00499,"[1, 0, 0, 2, 3, 2, 2, 0, 1, 2]",0.6625
trivialize,-1.1,0.53852,"[0, -2, -2, -1, -1, -1, -1, -1, -1, -1]",0.3625
sentimentalised,0.8,1.16619,"[2, 1, 1, 0, 0, 2, 3, -1, 0, 0]",0.6
dumpier,-1.4,0.66332,"[-2, -1, -2, -1, -1, -2, 0, -2, -1, -2]",0.325
traumatized,-1.7,1.41774,"[-1, -2, -2, -2, 2, -4, -2, -2, -2, -2]",0.2875
pityingly,-1.0,1.26491,"[-2, -2, -1, -2, -2, 0, 0, -1, 2, -2]",0.375
intelligential,1.9,0.9434,"[3, 2, 2, 1, 3, 2, 2, 3, 0, 1]",0.7375
grinners,1.6,0.8,"[2, 2, 2, 3, 1, 0, 2, 2, 1, 1]",0.7
rebellious,-1.2,1.249,"[-2, -1, -3, -1, -2, -2, 1, -1, 1, -2]",0.35
reekers,-1.5,1.0247,"[-3, 0, 0, 0, -2, -2, -2, -2, -2, -2]",0.3125
resigning,-0.9,1.22066,"[-1, -1, -1, -1, -1, 0, -1, -3, -2, 2]",0.3875
profiteers,0.5,1.5,"[-2, 1, -1, -1, 1, -1, 2, 2, 2, 2]",0.5625
suspected,-0.9,1.13578,"[-1, 0, -1, -2, -1, -1, -2, 2, -2, -1]",0.3875
calm,1.3,0.78102,"[1, 1, 0, 1, 2, 3, 2, 1, 1, 1]",0.6625
