sign,negative,positive,neutral,prediction
disjointed,-1.3,0.45826,"[-1, -1, -2, -1, -1, -2, -1, -2, -1, -1]",0.45797333
dislike,-1.6,0.4899,"[-2, -1, -1, -2, -2, -1, -2, -1, -2, -2]",0.35128686
disliked,-1.7,0.64031,"[-2, -3, -2, -1, -1, -1, -2, -2, -1, -2]",0.33087662
dislikes,-1.7,0.78102,"[-2, -2, -1, -1, -2, -1, -3, -3, -1, -1]",0.3838724
disliking,-1.3,0.45826,"[-1, -1, -2, -2, -2, -1, -1, -1, -1, -1]",0.32371083
dismal,-3.0,1.0,"[-2, -1, -4, -4, -3, -2, -3, -4, -4, -3]",0.47832268
dismay,-1.8,0.87178,"[-3, -1, -1, -3, -1, -1, -3, -1, -2, -2]",0.39759964
dismayed,-1.9,0.9434,"[-1, -2, -1, -3, -4, -1, -2, -2, -1, -2]",0.37620822
dismaying,-2.2,0.9798,"[-2, -3, -2, -3, -3, 0, -2, -1, -3, -3]",0.33454219
dismayingly,-1.9,0.83066,"[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]",0.3523704
dismays,-1.8,1.07703,"[-1, -1, -4, -3, -2, -1, -2, 0, -2, -2]",0.41204235
disorder,-1.7,0.64031,"[-2, -1, -1, -2, -2, -1, -3, -1, -2, -2]",0.32064006
disorganized,-1.2,0.4,"[-1, -1, -1, -1, -1, -2, -1, -2, -1, -1]",0.3610711
disoriented,-1.5,0.67082,"[-2, -2, -1, 0, -1, -2, -2, -1, -2, -2]",0.38740978
disparage,-2.0,0.44721,"[-2, -2, -2, -1, -2, -2, -2, -3, -2, -2]",0.37534177
disparaged,-1.4,0.8,"[-1, -2, -2, -3, -1, -1, -1, -2, 0, -1]",0.30678463
disparages,-1.6,0.8,"[-1, -2, -3, -2, -1, -1, -2, -2, 0, -2]",0.34201926
disparaging,-2.2,0.6,"[-3, -1, -2, -2, -2, -3, -3, -2, -2, -2]",0.2659716
displeased,-1.9,0.7,"[-3, -2, -1, -1, -3, -2, -2, -1, -2, -2]",0.37814328
dispute,-1.7,0.78102,"[-1, -3, -1, -1, -2, -1, -2, -2, -3, -1]",0.44409734
disputed,-1.4,0.66332,"[-2, -2, -2, -2, 0, -1, -1, -1, -1, -2]",0.4416018
disputes,-1.1,1.64012,"[-2, -2, -2, 2, -3, -1, -2, 2, -1, -2]",0.47329086
disputing,-1.7,0.64031,"[-2, -2, -2, -2, -1, -1, -3, -1, -1, -2]",0.44053096
disqualified,-1.8,0.6,"[-1, -2, -1, -2, -1, -2, -2, -3, -2, -2]",0.29025868
disquiet,-1.3,0.9,"[-1, -2, -2, -1, -1, -1, 1, -2, -2, -2]",0.5005786
disregard,-1.1,0.53852,"[-1, -1, -2, -1, -1, -2, -1, -1, 0, -1]",0.44868645
disregarded,-1.6,0.4899,"[-1, -1, -2, -2, -2, -2, -1, -2, -1, -2]",0.40220717
disregarding,-0.9,0.53852,"[-1, 0, -1, 0, -2, -1, -1, -1, -1, -1]",0.4102561
disregards,-1.4,0.4899,"[-1, -1, -2, -1, -2, -2, -2, -1, -1, -1]",0.465708
disrespect,-1.8,0.6,"[-2, -2, -2, -1, -2, -2, -1, -3, -1, -2]",0.28909212
disrespected,-2.0,0.63246,"[-2, -2, -2, -2, -2, -3, -3, -1, -1, -2]",0.28563768
disruption,-1.5,0.67082,"[-1, -1, -1, -2, -1, -3, -2, -2, -1, -1]",0.40603435
disruptions,-1.4,0.4899,"[-1, -2, -1, -1, -1, -2, -2, -2, -1, -1]",0.41420758
disruptive,-1.3,1.00499,"[-4, 0, -1, -1, -1, -1, -1, -1, -2, -1]",0.42485416
dissatisfaction,-2.2,0.74833,"[-4, -2, -2, -2, -1, -3, -2, -2, -2, -2]",0.33971217
dissatisfactions,-1.9,0.83066,"[-1, -3, -3, -1, -2, -1, -2, -2, -1, -3]",0.34725943
dissatisfactory,-2.0,0.63246,"[-2, -2, -3, -1, -2, -3, -2, -2, -1, -2]",0.3873651
dissatisfied,-1.6,0.66332,"[-2, -3, -1, -2, -1, -1, -2, -2, -1, -1]",0.3062585
dissatisfies,-1.8,0.74833,"[-3, -3, -1, -1, -2, -1, -2, -2, -2, -1]",0.34940007
dissatisfy,-2.2,0.6,"[-2, -3, -2, -2, -2, -2, -3, -3, -1, -2]",0.3217135
dissatisfying,-2.4,0.91652,"[-3, -1, -4, -3, -2, -1, -2, -2, -3, -3]",0.36530346
distort,-1.3,0.45826,"[-2, -1, -1, -1, -2, -1, -1, -1, -1, -2]",0.45292932
distorted,-1.7,0.78102,"[-3, -1, -3, -1, -2, -1, -2, -2, -1, -1]",0.42710832
distorting,-1.1,0.53852,"[0, -1, -1, -1, -2, -1, -1, -1, -2, -1]",0.41416603
distorts,-1.4,0.4899,"[-2, -1, -1, -1, -2, -2, -2, -1, -1, -1]",0.4711581
distract,-1.2,0.6,"[-1, -1, 0, -2, -1, -1, -1, -2, -1, -2]",0.48185828
distractable,-1.3,1.00499,"[-2, 0, 1, -2, -2, -1, -1, -2, -2, -2]",0.534817
distracted,-1.4,0.66332,"[-1, -3, -1, -2, -2, -1, -1, -1, -1, -1]",0.5020436
distractedly,-0.9,0.7,"[-1, -1, 0, -2, -1, 0, -1, 0, -1, -2]",0.522321
distractibility,-1.3,1.1,"[-1, -1, -3, -1, 0, -3, -2, 0, -2, 0]",0.48515996
distractible,-1.5,0.92195,"[-1, -2, -1, -1, -4, -1, -1, -1, -2, -1]",0.4534529
distracting,-1.2,0.4,"[-2, -1, -1, -1, -1, -1, -2, -1, -1, -1]",0.49870956
distractingly,-1.4,1.0198,"[-4, 0, -1, -1, -1, -2, -1, -1, -2, -1]",0.51646715
distraction,-1.6,0.66332,"[-1, -2, -2, -1, -1, -3, -1, -1, -2, -2]",0.51618314
distractions,-1.0,0.0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.5111798
distractive,-1.6,0.4899,"[-2, -2, -1, -1, -1, -1, -2, -2, -2, -2]",0.46846625
distracts,-1.3,0.45826,"[-1, -1, -2, -1, -1, -2, -1, -2, -1, -1]",0.49615958
distraught,-2.6,0.8,"[-2, -3, -2, -3, -4, -2, -3, -3, -1, -3]",0.35131386
distress,-2.4,0.8,"[-1, -2, -2, -3, -3, -4, -3, -2, -2, -2]",0.28273243
distressed,-1.8,0.6,"[-2, -2, -2, -3, -2, -2, -1, -1, -2, -1]",0.38201523
distresses,-1.6,0.66332,"[-2, -1, -1, -2, -2, -2, -1, -1, -3, -1]",0.2800807
distressful,-2.2,0.6,"[-1, -3, -3, -2, -2, -3, -2, -2, -2, -2]",0.2670022
distressfully,-1.7,1.1,"[-1, -3, -2, 1, -3, -1, -2, -2, -2, -2]",0.32750094
distressfulness,-2.4,0.66332,"[-2, -3, -2, -3, -3, -3, -2, -1, -3, -2]",0.3190433
distressing,-1.7,1.18743,"[-3, -3, -1, -1, -2, -2, -3, -2, 1, -1]",0.269657
distressingly,-2.2,0.74833,"[-3, -1, -2, -3, -3, -3, -2, -2, -2, -1]",0.31402797
distrust,-1.8,0.87178,"[-1, -2, -2, -2, -1, -1, -2, -4, -1, -2]",0.2951851
distrusted,-2.4,0.66332,"[-1, -3, -3, -3, -2, -2, -3, -2, -2, -3]",0.39456767
distrustful,-2.1,0.83066,"[-1, -3, -2, -2, -3, -1, -1, -3, -2, -3]",0.3101461
distrustfully,-1.8,0.6,"[-2, -1, -1, -2, -1, -2, -3, -2, -2, -2]",0.35340494
distrustfulness,-1.6,0.66332,"[-2, -1, -2, -1, -2, -1, -1, -3, -1, -2]",0.34861767
distrusting,-2.1,0.83066,"[-1, -2, -2, -2, -3, -3, -1, -3, -1, -3]",0.25506818
distrusts,-1.3,0.45826,"[-1, -1, -2, -1, -2, -1, -2, -1, -1, -1]",0.3140636
disturb,-1.7,0.45826,"[-2, -1, -1, -2, -2, -2, -1, -2, -2, -2]",0.36614487
disturbance,-1.6,0.8,"[-1, -2, -1, -2, -2, -3, -1, -2, 0, -2]",0.3519221
disturbances,-1.4,0.66332,"[-1, -1, -1, -2, -1, -1, -1, -1, -3, -2]",0.34271204
disturbed,-1.6,0.4899,"[-2, -2, -1, -1, -2, -2, -1, -2, -1, -2]",0.33824688
disturber,-1.4,0.4899,"[-2, -1, -1, -2, -2, -1, -1, -2, -1, -1]",0.32083333
disturbers,-2.1,0.53852,"[-2, -2, -2, -2, -2, -3, -3, -2, -1, -2]",0.35287762
disturbing,-2.3,0.45826,"[-2, -2, -3, -3, -2, -2, -3, -2, -2, -2]",0.39505216
disturbingly,-2.3,0.78102,"[-2, -2, -1, -3, -4, -3, -2, -2, -2, -2]",0.40490142
disturbs,-1.9,0.53852,"[-2, -2, -1, -2, -3, -2, -1, -2, -2, -2]",0.3475728
dithering,-0.5,0.92195,"[0, 0, 0, 0, 1, -1, -2, -2, -1, 0]",0.4801504
divination,1.7,1.1,"[2, 3, 0, 1, 2, 1, 3, 3, 2, 0]",0.67019403
divinations,1.1,1.04403,"[1, 0, 1, 2, 2, 0, 3, 2, 0, 0]",0.671467
divinatory,1.6,1.42829,"[4, 1, 0, 0, 1, 3, 3, 0, 1, 3]",0.61822075
divine,2.6,0.8,"[3, 3, 3, 2, 1, 2, 3, 4, 2, 3]",0.73477453
divined,0.8,1.16619,"[1, 0, 3, 0, 0, 1, 0, 3, 0, 0]",0.54683656
divinely,2.9,0.7,"[3, 2, 3, 3, 2, 4, 3, 2, 4, 3]",0.7235649
diviner,0.3,0.9,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]",0.60109216
diviners,1.2,1.16619,"[0, 1, 0, 2, 2, 0, 3, 1, 3, 0]",0.6271473
divines,0.8,1.249,"[0, 0, 3, 0, 0, 0, 3, 2, 0, 0]",0.7016907
divinest,2.7,0.78102,"[3, 4, 2, 4, 2, 2, 2, 3, 2, 3]",0.687365
diving,0.3,0.45826,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.59825146
divining,0.9,1.37477,"[0, -1, 2, 0, 1, 0, 2, 4, 1, 0]",0.5755122
divinise,0.5,1.36015,"[0, 2, 0, 0, 0, 0, 0, -2, 2, 3]",0.6078713
divinities,1.8,1.46969,"[1, 3, 3, 4, 0, 0, 1, 0, 3, 3]",0.565084
divinity,2.7,1.00499,"[4, 4, 2, 3, 3, 1, 2, 4, 2, 2]",0.6617703
divinize,2.3,1.00499,"[4, 2, 2, 3, 4, 1, 1, 2, 2, 2]",0.5220099
dizzy,-0.9,0.3,"[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1]",0.4816019
dodging,-0.4,0.8,"[-1, -1, 0, 1, 0, -1, 0, 0, -2, 0]",0.44290528
dodgy,-0.9,0.9434,"[-1, -1, -1, -3, -1, 1, -1, -1, -1, 0]",0.48835275
dolorous,-2.2,0.6,"[-2, -2, -2, -3, -3, -3, -2, -2, -1, -2]",0.4757341
dominance,0.8,0.87178,"[2, 0, 0, 2, 1, 0, 0, 1, 2, 0]",0.53378695
dominances,-0.1,0.9434,"[-1, 0, 1, 1, 0, -1, 0, 1, 0, -2]",0.6123997
dominantly,0.2,1.16619,"[-2, 0, 0, -1, 2, 1, 2, 0, 0, 0]",0.5650481
dominants,0.2,1.16619,"[0, 2, -1, 0, -1, -1, -1, 1, 1, 2]",0.5388761
dominate,-0.5,0.92195,"[0, -1, 1, -1, 1, -1, -2, 0, -1, -1]",0.48380467
dominates,0.2,1.249,"[1, 0, -2, -1, 1, -1, 2, 0, 0, 2]",0.5104856
dominating,-1.2,1.98997,"[-4, -1, -4, -1, -3, -1, -1, 2, 2, -1]",0.4879021
domination,-0.2,0.9798,"[0, 1, 0, -1, -1, -1, 0, 2, -1, -1]",0.5250409
dominations,-0.3,0.45826,"[0, 0, 0, 0, 0, -1, 0, -1, -1, 0]",0.54952794
dominative,-0.7,1.18743,"[-1, -1, -2, -2, -1, -1, -1, 2, 1, -1]",0.52020067
dominators,-0.4,1.8,"[-1, -2, -2, -2, 0, 2, 2, -3, 2, 0]",0.5178015
dominatrices,-0.2,1.6,"[-3, 0, 2, 0, -2, -2, 0, 1, 2, 0]",0.546915
dominatrix,-0.5,0.92195,"[0, 0, -1, 0, 0, 1, 0, -1, -2, -2]",0.51685
dominatrixes,0.6,1.35647,"[0, 4, 0, -1, 0, 2, 1, 0, 0, 0]",0.5109131
doom,-1.7,1.26886,"[-2, -1, -1, -4, -2, -2, 1, -3, -1, -2]",0.45868784
doomed,-3.2,0.74833,"[-3, -3, -4, -4, -4, -2, -4, -3, -3, -2]",0.43930137
doomful,-2.1,0.7,"[-3, -2, -3, -1, -2, -3, -2, -1, -2, -2]",0.4805019
dooming,-2.8,0.4,"[-2, -3, -2, -3, -3, -3, -3, -3, -3, -3]",0.455425
dooms,-1.1,1.57797,"[1, -3, -1, -3, -2, -1, -3, 1, 1, -1]",0.47588572
doomsayer,-0.7,1.41774,"[2, -1, -2, -1, 1, -2, -2, -1, 1, -2]",0.48238036
doomsayers,-1.7,0.78102,"[-1, -2, -3, 0, -2, -2, -2, -1, -2, -2]",0.48038557
doomsaying,-1.5,1.28452,"[-3, -2, -2, 0, 1, 0, -3, -2, -2, -2]",0.47943518
doomsayings,-1.5,0.92195,"[-2, -1, -1, -2, -2, 0, 0, -2, -3, -2]",0.49361047
doomsday,-2.8,1.249,"[-3, -1, -3, -4, -3, -4, 0, -4, -3, -3]",0.45959708
doomsdayer,-2.2,1.249,"[-3, -1, -4, -3, -4, -3, -1, -1, -1, -1]",0.46012384
doomsdays,-2.4,1.85472,"[-3, -2, -4, 1, -4, -3, -2, -4, 1, -4]",0.4717096
doomster,-2.2,0.87178,"[-2, -1, -2, -3, -1, -3, -1, -3, -3, -3]",0.45377815
doomsters,-1.6,0.8,"[-3, -1, -2, -2, 0, -2, -2, -1, -1, -2]",0.4936809
doomy,-1.1,1.37477,"[2, -2, -1, -2, -2, -2, -2, 1, -1, -2]",0.49326253
dork,-1.4,0.66332,"[-1, -2, -2, -1, -1, -1, -3, -1, -1, -1]",0.5892181
dorkier,-1.1,0.53852,"[-1, -1, -1, -1, -2, 0, -1, -2, -1, -1]",0.58627474
dorkiest,-1.2,0.74833,"[-1, -2, -1, -3, -1, 0, -1, -1, -1, -1]",0.6280767
dorks,-0.5,0.67082,"[-1, 1, -1, -1, -1, -1, 0, 0, -1, 0]",0.634549
dorky,-1.1,1.04403,"[-1, 0, -1, 1, -1, -1, -3, -2, -2, -1]",0.57937986
doubt,-1.5,0.5,"[-1, -1, -2, -2, -1, -1, -2, -1, -2, -2]",0.481884
doubtable,-1.5,0.5,"[-1, -1, -2, -1, -2, -1, -2, -2, -1, -2]",0.5307035
doubted,-1.1,1.22066,"[-1, -2, -2, 2, -1, -1, -2, -2, -2, 0]",0.47901934
doubter,-1.6,0.91652,"[-1, -3, -2, -1, -1, -1, -2, -2, -3, 0]",0.39466396
doubters,-1.3,0.45826,"[-1, -1, -1, -1, -1, -2, -1, -2, -2, -1]",0.42581862
doubtful,-1.4,0.4899,"[-1, -1, -2, -1, -2, -2, -1, -1, -2, -1]",0.5012176
doubtfully,-1.2,0.4,"[-1, -1, -1, -1, -1, -1, -2, -1, -1, -2]",0.5141795
doubtfulness,-1.2,0.4,"[-2, -1, -1, -1, -1, -1, -1, -1, -1, -2]",0.49860787
doubting,-1.4,0.4899,"[-1, -1, -1, -2, -2, -1, -1, -1, -2, -2]",0.45707482
doubtingly,-1.4,0.4899,"[-2, -2, -1, -1, -1, -1, -1, -2, -2, -1]",0.5363146
doubtless,0.9,1.51327,"[2, 2, 1, 2, -2, 2, -2, 1, 1, 2]",0.5810208
doubtlessly,1.2,0.9798,"[2, 1, 1, 2, 0, -1, 2, 1, 2, 2]",0.5746859
doubtlessness,0.8,0.9798,"[2, 1, 2, 0, 0, 0, 2, -1, 1, 1]",0.5041888
doubts,-1.2,0.6,"[-2, -1, -1, -1, -2, -2, -1, 0, -1, -1]",0.49697778
douche,-1.5,1.68819,"[-3, -2, -3, 1, 1, -2, -3, -2, 1, -3]",0.38029838
douchebag,-3.0,0.44721,"[-3, -3, -3, -3, -3, -3, -2, -3, -4, -3]",0.2439788
downcast,-1.8,0.74833,"[-1, -1, -1, -2, -2, -2, -1, -3, -3, -2]",0.417571
downhearted,-2.3,0.78102,"[-1, -2, -2, -4, -2, -2, -2, -3, -3, -2]",0.5029044
downside,-1.0,0.7746,"[-1, -1, -1, -1, -1, -1, -2, 1, -2, -1]",0.52772915
drag,-0.9,0.83066,"[-1, -2, -1, -1, -2, -1, -1, 1, 0, -1]",0.476306
dragged,-0.2,1.07703,"[-2, -1, 0, 0, -1, 0, 0, 1, 2, -1]",0.4156333
drags,-0.7,0.64031,"[0, -1, 0, -1, -1, -2, -1, 0, 0, -1]",0.46827474
drained,-1.5,0.5,"[-1, -1, -2, -2, -1, -2, -1, -2, -1, -2]",0.41474855
dread,-2.0,0.63246,"[-2, -3, -2, -2, -2, -2, -3, -1, -1, -2]",0.5006113
dreaded,-2.7,0.64031,"[-2, -3, -3, -3, -4, -3, -2, -2, -2, -3]",0.4363339
dreadful,-1.9,1.86815,"[-4, -2, -2, 2, -1, -4, -1, 0, -3, -4]",0.3869905
dreadfully,-2.7,1.26886,"[-4, -4, -3, -4, -3, -1, -2, -1, -1, -4]",0.3175949
dreadfulness,-3.2,0.87178,"[-3, -4, -2, -3, -4, -4, -2, -2, -4, -4]",0.36103866
dreadfuls,-2.4,1.2,"[-4, -3, -3, -2, -3, -2, -4, 0, -1, -2]",0.4126252
dreading,-2.4,0.8,"[-3, -2, -2, -2, -2, -2, -3, -4, -3, -1]",0.5336132
dreadlock,-0.4,0.66332,"[0, 0, 0, 0, 0, -1, -2, 0, -1, 0]",0.49167103
dreadlocks,-0.2,0.9798,"[0, 0, 0, 0, 0, -1, -2, 2, 0, -1]",0.49743626
dreadnought,-0.6,1.35647,"[-2, 0, 0, 0, -3, 0, -1, -2, 0, 2]",0.5377253
dreadnoughts,-0.4,0.66332,"[0, -1, -1, 0, 0, 0, 0, 0, -2, 0]",0.53347975
dreads,-1.4,1.42829,"[0, -1, 0, 0, -3, -3, 0, -4, -2, -1]",0.525751
dream,1.0,1.18322,"[0, 1, 2, 0, 0, 3, 0, 3, 1, 0]",0.73000926
dreams,1.7,1.1,"[2, 2, 3, 0, 1, 1, 1, 4, 1, 2]",0.7386019
dreary,-1.4,0.4899,"[-1, -1, -2, -1, -1, -2, -2, -1, -2, -1]",0.6265436
droopy,-0.8,0.74833,"[-1, -1, 0, -1, -2, 0, 0, -1, 0, -2]",0.4963402
drop,-1.1,0.53852,"[0, -1, -1, -1, -2, -1, -2, -1, -1, -1]",0.5012381
drown,-2.7,1.00499,"[-4, -2, -2, -4, -4, -2, -3, -1, -3, -2]",0.35365102
drowned,-2.9,0.7,"[-2, -3, -3, -3, -2, -4, -4, -2, -3, -3]",0.40256077
drowns,-2.2,1.6,"[-3, -3, -3, -4, -2, -3, -1, -2, 2, -3]",0.37177706
drunk,-1.4,0.91652,"[-3, -1, 0, -2, 0, -1, -1, -2, -2, -2]",0.3489584
dubious,-1.5,0.5,"[-1, -2, -2, -1, -1, -2, -1, -1, -2, -2]",0.492015
dud,-1.0,0.89443,"[-1, -1, -1, 0, -3, 0, -1, 0, -1, -2]",0.49763605
dull,-1.7,0.45826,"[-2, -2, -2, -1, -2, -2, -2, -1, -1, -2]",0.45912436
dullard,-1.6,0.66332,"[-2, -1, -1, -2, -2, -1, -1, -2, -1, -3]",0.48715028
dullards,-1.8,0.87178,"[-1, -3, -1, -1, -3, -1, -1, -2, -3, -2]",0.5019006
dulled,-1.5,0.5,"[-2, -1, -2, -1, -1, -1, -2, -2, -1, -2]",0.5201659
duller,-1.7,0.64031,"[-3, -1, -2, -2, -2, -1, -2, -1, -1, -2]",0.44340461
dullest,-1.7,1.00499,"[-1, -4, -1, -1, -2, -3, -2, -1, -1, -1]",0.5046816
dulling,-1.1,0.7,"[-1, -2, 0, -1, -2, -2, 0, -1, -1, -1]",0.47441414
dullish,-1.1,0.53852,"[-2, -1, -1, -1, -1, -1, -1, -1, 0, -2]",0.4527662
dullness,-1.4,0.8,"[-1, -1, -1, -1, -1, -1, -3, -1, -3, -1]",0.3872498
dullnesses,-1.9,1.04403,"[-3, -2, -1, -1, -3, -1, -4, -1, -2, -1]",0.4093856
dulls,-1.0,0.44721,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -2]",0.4503708
dullsville,-2.4,0.8,"[-2, -2, -4, -3, -2, -2, -3, -2, -3, -1]",0.5120674
dully,-1.1,0.3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -2]",0.5376914
dumb,-2.3,0.9,"[-4, -2, -2, -2, -2, -2, -4, -2, -2, -1]",0.41338962
dumbass,-2.6,1.0198,"[-3, -3, -4, -4, -1, -2, -3, -3, -1, -2]",0.32953656
dumbbell,-0.8,0.9798,"[0, -1, -3, -2, 0, -1, 0, 0, -1, 0]",0.5198
dumbbells,-0.2,0.4,"[0, -1, 0, 0, 0, 0, 0, -1, 0, 0]",0.55907875
dumbcane,-0.3,0.45826,"[0, 0, 0, 0, 0, -1, -1, 0, -1, 0]",0.5103572
dumbcanes,-0.6,1.2,"[0, 0, -1, -1, -1, 2, 0, -1, -3, -1]",0.47483736
dumbed,-1.4,0.4899,"[-2, -1, -2, -2, -2, -1, -1, -1, -1, -1]",0.41468683
dumber,-1.5,0.5,"[-2, -1, -2, -1, -2, -1, -1, -2, -2, -1]",0.4014514
dumbest,-2.3,1.00499,"[-3, -1, -3, -4, -2, -1, -2, -3, -1, -3]",0.43531296
dumbfound,-0.1,1.92094,"[3, -2, -1, -1, 1, 1, -3, 3, -1, -1]",0.47591233
dumbfounded,-1.6,1.11355,"[-2, 0, -2, 0, -2, -1, -4, -1, -2, -2]",0.4309386
dumbfounder,-1.0,0.89443,"[-2, 0, 0, 0, -2, -1, -2, 0, -2, -1]",0.54773253
dumbfounders,-1.0,0.89443,"[-1, -3, -1, 0, -2, 0, -1, 0, -1, -1]",0.5372988
dumbfounding,-0.8,0.74833,"[-1, -2, 0, -1, -1, 0, 0, -1, 0, -2]",0.48708105
dumbfounds,-0.3,1.26886,"[0, -1, -1, 0, 0, -1, -1, -2, 0, 3]",0.50555885
dumbhead,-2.6,0.66332,"[-3, -4, -3, -2, -2, -3, -3, -2, -2, -2]",0.36518997
dumbheads,-1.9,0.83066,"[-2, -2, -2, -1, -2, -1, -2, -4, -1, -2]",0.4089484
dumbing,-0.5,1.0247,"[-1, 2, -1, 0, -1, -2, -1, 0, 0, -1]",0.4290254
dumbly,-1.3,1.00499,"[-2, -1, -2, -3, 1, -2, -1, -1, -1, -1]",0.4302109
dumbness,-1.9,0.53852,"[-2, -2, -2, -2, -2, -3, -2, -2, -1, -1]",0.37779245
dumbs,-1.5,0.67082,"[-1, -1, -1, -3, -2, -1, -2, -1, -2, -1]",0.45054626
dumbstruck,-1.0,1.34164,"[-1, -2, 0, 0, -2, 1, -3, 1, -2, -2]",0.42925107
dumbwaiter,0.2,1.07703,"[0, 0, 0, 0, 2, 0, 2, 0, -2, 0]",0.4980993
dumbwaiters,-0.1,0.3,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",0.516941
dump,-1.6,0.91652,"[-3, -2, -1, -2, -1, -3, -2, -1, -1, 0]",0.4587912
dumpcart,-0.6,0.8,"[0, -2, -1, 0, 0, 0, -1, 0, -2, 0]",0.4873437
dumped,-1.7,0.78102,"[-2, -3, -2, -1, -1, -1, -3, -2, -1, -1]",0.4266663
dumper,-1.2,0.87178,"[-2, -3, -1, -1, -1, -2, 0, -1, 0, -1]",0.44257608
dumpers,-0.8,0.6,"[0, 0, -2, -1, -1, 0, -1, -1, -1, -1]",0.48313332
dumpier,-1.4,0.66332,"[-2, -1, -2, -1, -1, -2, 0, -2, -1, -2]",0.47650504
dumpiest,-1.6,1.35647,"[-1, -2, -2, -3, -2, -4, 1, 0, -1, -2]",0.40552488
dumpiness,-1.2,0.6,"[-2, -1, 0, -1, -1, -2, -1, -2, -1, -1]",0.44884717
dumping,-1.3,1.1,"[-3, -2, -2, 0, -2, -1, -1, 1, -1, -2]",0.38938802
dumpings,-1.1,0.83066,"[-2, 0, -1, -1, 0, -1, -2, -2, 0, -2]",0.46678695
dumpish,-1.8,0.6,"[-2, -1, -2, -3, -2, -2, -1, -2, -2, -1]",0.42089063
dumpling,0.4,0.91652,"[0, 0, 1, 0, -1, 2, 2, 0, 0, 0]",0.55913085
dumplings,-0.3,1.26886,"[0, 0, 0, 0, 2, 0, 0, 0, -2, -3]",0.6628914
dumps,-1.7,0.9,"[-3, -2, -3, -1, -1, -3, -1, -1, -1, -1]",0.5268422
dumpster,-0.6,0.91652,"[0, -2, 0, -2, 0, 0, 0, -2, 0, 0]",0.4689834
dumpsters,-1.0,0.89443,"[0, -1, 0, -2, -2, -2, 0, 0, -1, -2]",0.48302722
dumpy,-1.7,0.78102,"[-3, -2, -3, -1, -1, -2, -2, -1, -1, -1]",0.40688974
dupe,-1.5,0.5,"[-2, -2, -1, -1, -2, -1, -2, -1, -2, -1]",0.4635472
duped,-1.8,0.4,"[-2, -2, -1, -2, -2, -2, -2, -1, -2, -2]",0.45214635
dwell,0.5,0.92195,"[2, 1, -1, 0, -1, 1, 1, 1, 1, 0]",0.50994307
dwelled,0.4,0.66332,"[2, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.585311
dweller,0.3,0.64031,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.485525
dwellers,-0.3,0.9,"[-3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5083352
dwelling,0.1,0.53852,"[0, 1, 0, 1, 0, 0, 0, -1, 0, 0]",0.50499743
dwells,-0.1,0.53852,"[0, 0, 0, 0, -1, 1, -1, 0, 0, 0]",0.53137577
dynamic,1.6,0.8,"[1, 1, 1, 3, 1, 1, 2, 3, 2, 1]",0.6507204
dynamical,1.2,0.87178,"[1, 2, 0, 1, 0, 2, 2, 2, 2, 0]",0.60946685
dynamically,1.5,1.0247,"[2, 0, 3, 2, 0, 0, 2, 2, 2, 2]",0.62531656
dynamics,1.1,1.13578,"[2, 3, 0, 0, 0, 2, 2, 0, 2, 0]",0.61486155
dynamism,1.6,1.11355,"[0, 2, 0, 2, 0, 2, 3, 3, 2, 2]",0.5749677
dynamisms,1.2,0.9798,"[2, 0, 2, 0, 0, 2, 2, 2, 0, 2]",0.5835806
dynamist,1.4,1.0198,"[0, 2, 0, 2, 0, 1, 3, 2, 2, 2]",0.54288185
dynamistic,1.5,1.0247,"[3, 1, 1, 2, 1, 3, 2, 0, 2, 0]",0.5592238
dynamists,0.9,0.83066,"[1, 0, 0, 0, 0, 2, 2, 1, 2, 1]",0.5443065
dynamite,0.7,2.2383,"[-3, 2, 3, 1, 2, 0, 2, 2, 2, -4]",0.60898364
dynamited,-0.9,1.04403,"[0, 0, 0, -1, -1, 0, -2, 0, -2, -3]",0.52457523
dynamiter,-1.2,0.87178,"[-1, 0, -1, -1, -2, 0, -1, -1, -2, -3]",0.5503202
dynamiters,0.4,1.42829,"[0, 0, 0, -3, 1, 0, 2, 2, 2, 0]",0.58524287
dynamites,-0.3,1.73494,"[0, 0, 4, -1, -1, 0, 0, 0, -2, -3]",0.59645903
dynamitic,0.9,1.3,"[2, 0, 1, -2, 2, 1, 1, 3, 0, 1]",0.60553324
dynamiting,0.2,1.32665,"[-2, 0, 0, 2, -1, -1, 0, 2, 2, 0]",0.6243023
dynamometer,0.3,0.64031,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0.57102406
dynamometers,0.3,0.45826,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0.5768274
dynamometric,0.3,0.9,"[0, 0, 0, 0, 0, 2, 0, 0, 2, -1]",0.59482396
