sign,negative,positive,neutral,predicted,loss
disappointment,-2.3,1.00499,"[-3, -1, -4, -1, -3, -1, -3, -2, -2, -3]",-2.0870767,0.21292333602905256
exhausting,-1.5,0.5,"[-1, -2, -1, -1, -2, -1, -2, -2, -1, -2]",-1.7130239,0.21302390098571777
violating,-2.5,0.92195,"[-2, -3, -3, -1, -3, -2, -4, -1, -3, -3]",-2.2869065,0.21309351921081543
miserly,-1.4,0.91652,"[0, -2, -2, 0, -1, -2, -2, -1, -3, -1]",-1.6137164,0.21371636390686044
inhibitory,-1.0,0.7746,"[0, -1, -2, -2, -1, -2, 0, 0, -1, -1]",-0.78619194,0.2138080596923828
lameness,-0.8,1.07703,"[-2, -2, -1, -1, -1, 0, 2, -1, -1, -1]",-1.0139098,0.21390981674194331
bothered,-1.3,0.45826,"[-1, -1, -2, -1, -2, -1, -1, -1, -1, -2]",-1.0860796,0.2139204025268555
ugly,-2.3,0.9,"[-3, -2, -1, -2, -4, -1, -3, -2, -2, -3]",-2.5139508,0.213950824737549
fulfills,1.0,1.09545,"[2, 1, 1, 1, 1, -2, 2, 2, 1, 1]",0.78581524,0.21418476104736328
joyousness,2.8,0.74833,"[3, 3, 1, 3, 3, 3, 4, 2, 3, 3]",3.0144882,0.21448822021484393
enjoyers,2.2,0.74833,"[2, 4, 2, 2, 2, 2, 2, 3, 2, 1]",1.9852161,0.21478385925292987
attractively,2.2,0.6,"[3, 2, 2, 3, 2, 2, 2, 3, 1, 2]",1.9851818,0.2148181915283205
trick,-0.2,1.32665,"[-1, 1, -2, -2, -1, 2, 0, 1, 1, -1]",-0.4148364,0.21483640670776366
rude,-2.0,0.44721,"[-2, -1, -3, -2, -2, -2, -2, -2, -2, -2]",-2.2148762,0.2148761749267578
awaits,0.3,0.78102,"[0, 0, 0, 1, 2, 1, 0, 0, -1, 0]",0.51503515,0.21503515243530275
tenderloin,-0.2,0.74833,"[0, 0, 0, 0, -2, 0, 1, 0, -1, 0]",0.015386581,0.21538658142089845
thoughtfulness,1.9,0.53852,"[1, 2, 1, 2, 2, 3, 2, 2, 2, 2]",2.1159196,0.21591958999633798
rebelled,-1.0,1.26491,"[-2, -2, 0, -2, 0, -2, -2, -1, -1, 2]",-0.7839341,0.2160658836364746
promisees,1.1,0.9434,"[2, 0, 1, 0, 0, 0, 2, 2, 2, 2]",0.883873,0.21612701416015634
lawsuits,-0.6,1.68523,"[-2, -1, 0, 3, 2, -1, -1, -2, -2, -2]",-0.8161354,0.21613540649414065
empties,-0.7,0.64031,"[-1, 0, 0, 0, -1, -1, -1, -2, 0, -1]",-0.91672707,0.2167270660400391
enjoyments,2.0,0.7746,"[3, 1, 1, 3, 2, 1, 2, 2, 2, 3]",1.7832289,0.21677112579345703
reckless,-1.7,0.64031,"[-2, -1, -1, -3, -1, -2, -1, -2, -2, -2]",-1.4831274,0.21687264442443843
pressured,-0.9,1.04403,"[-2, -1, -2, -1, 2, -1, -1, -1, -1, -1]",-0.6829872,0.2170127868652344
delightful,2.8,0.6,"[4, 3, 2, 3, 3, 3, 2, 2, 3, 3]",2.5826855,0.21731452941894513
confrontational,-1.6,0.66332,"[-1, -2, -1, -2, -1, -2, -1, -2, -3, -1]",-1.8175476,0.2175475597381591
dodgy,-0.9,0.9434,"[-1, -1, -1, -3, -1, 1, -1, -1, -1, 0]",-0.68216324,0.2178367614746094
isolates,-1.3,0.64031,"[-1, -1, -1, -1, -2, -1, -3, -1, -1, -1]",-1.0821457,0.2178543090820313
worser,-2.0,0.89443,"[-2, -2, -4, -1, -2, -2, -2, -3, -1, -1]",-1.7820654,0.21793460845947266
benignancy,0.6,1.2,"[2, -1, -2, 1, 0, 1, 1, 2, 1, 1]",0.38194227,0.21805772781372068
pain,-2.3,0.64031,"[-2, -3, -2, -2, -2, -2, -2, -2, -2, -4]",-2.081666,0.21833400726318342
favorite,2.0,0.63246,"[2, 1, 3, 1, 2, 2, 2, 3, 2, 2]",1.7816396,0.21836042404174805
rudesby,-2.0,0.7746,"[-2, -3, -2, -2, -1, -3, -1, -1, -2, -3]",-2.218509,0.21850895881652832
cheerers,1.8,0.87178,"[2, 2, 3, 2, 1, 2, 0, 1, 3, 2]",1.5813136,0.21868638992309575
defectives,-1.8,0.74833,"[-3, -3, -1, -2, -2, -1, -2, -1, -1, -2]",-2.0187407,0.21874065399169917
disappointed,-2.1,0.83066,"[-1, -3, -2, -2, -3, -1, -1, -2, -3, -3]",-2.3187995,0.2187994956970214
ridiculer,-1.6,0.91652,"[-1, -1, -1, -2, -2, 0, -1, -3, -2, -3]",-1.3811159,0.2188840866088868
pityriasis,-0.8,0.87178,"[-2, 0, 0, 0, -1, 0, -2, -1, -2, 0]",-1.0189257,0.218925666809082
dynamometric,0.3,0.9,"[0, 0, 0, 0, 0, 2, 0, 0, 2, -1]",0.51902246,0.21902246475219728
gratis,0.2,0.9798,"[-2, 1, 1, 0, 0, 0, -1, 1, 1, 1]",0.4194069,0.21940689086914061
prejudicialness,-2.4,1.42829,"[-2, -3, 1, -3, -2, -4, -4, -3, -1, -3]",-2.1805382,0.21946182250976554
insecurity,-1.8,0.74833,"[-2, -2, -2, -1, -3, -3, -2, -1, -1, -1]",-1.5804741,0.21952586174011235
relaxants,0.7,0.9,"[0, 1, 1, 0, -1, 2, 1, 2, 1, 0]",0.91952944,0.21952943801879887
matter,0.1,0.3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.31958723,0.21958723068237304
discouragingly,-1.8,0.87178,"[-2, -1, -3, -1, -1, -3, -2, -1, -3, -1]",-2.0197048,0.2197048187255859
lovable,3.0,0.63246,"[3, 3, 3, 4, 3, 2, 3, 3, 2, 4]",3.2197456,0.21974563598632812
contradictors,-1.6,0.66332,"[-1, -2, -1, -2, -1, -1, -3, -1, -2, -2]",-1.3795633,0.22043666839599618
conflicts,-1.6,0.8,"[-1, -1, -1, -2, -1, -1, -3, -2, -1, -3]",-1.3795233,0.22047672271728525
handsomeness,2.4,1.28062,"[2, 4, 1, 4, 0, 2, 4, 3, 2, 2]",2.6205034,0.22050342559814462
contradicting,-1.3,0.9,"[-2, -2, -2, -1, -2, -1, 1, -1, -1, -2]",-1.5205524,0.22055239677429195
friendships,1.6,0.91652,"[2, 1, 1, 0, 3, 2, 2, 3, 1, 1]",1.8206134,0.22061338424682608
delighted,2.3,0.64031,"[3, 3, 2, 3, 2, 1, 3, 2, 2, 2]",2.5206656,0.2206656455993654
grime,-1.5,0.92195,"[-1, -2, -1, -1, -1, -3, 0, -2, -1, -3]",-1.2789359,0.22106409072875977
expands,0.4,0.66332,"[0, 1, 0, 0, 0, 0, 0, 0, 2, 1]",0.1788392,0.22116079330444338
invigoration,1.5,1.36015,"[2, 2, 1, -2, 1, 3, 3, 2, 1, 2]",1.2786365,0.22136354446411133
harmonic,1.8,0.87178,"[2, 1, 2, 3, 0, 1, 3, 2, 2, 2]",1.5784893,0.22151069641113286
friendly,2.2,0.6,"[2, 1, 3, 3, 2, 2, 3, 2, 2, 2]",1.9783196,0.22168035507202166
tranquillizes,0.1,0.7,"[-1, -1, 0, 0, 1, 1, 1, 0, 0, 0]",0.32194376,0.22194375991821289
gratin,0.4,0.91652,"[0, 1, 0, 0, 0, 0, 2, 0, -1, 2]",0.62201834,0.22201833724975584
wasted,-2.2,0.6,"[-2, -3, -2, -3, -1, -3, -2, -2, -2, -2]",-1.9777858,0.22221417427063006
diamond,1.4,1.42829,"[0, 0, 2, 0, 1, 3, 1, 3, 0, 4]",1.1773376,0.2226623535156249
infuriate,-2.2,0.87178,"[-2, -1, -3, -3, -2, -3, -3, -1, -1, -3]",-2.4226904,0.22269039154052717
offender,-1.5,1.28452,"[-3, -2, -2, -2, -2, -2, -2, 1, 1, -2]",-1.7227981,0.22279810905456543
pleasantness,2.3,0.9,"[3, 2, 3, 3, 3, 1, 1, 3, 1, 3]",2.0770612,0.222938823699951
victimhood,-2.0,0.44721,"[-2, -2, -2, -2, -2, -1, -3, -2, -2, -2]",-2.2229671,0.22296714782714844
lame,-1.8,0.74833,"[-1, -3, -1, -2, -2, -1, -2, -3, -1, -2]",-1.5769982,0.22300176620483403
sentimentalizes,1.1,1.37477,"[3, 0, 1, 0, 1, 4, 2, 0, 0, 0]",0.8769541,0.22304592132568368
cutiepie,2.0,1.09545,"[3, 1, 2, 4, 0, 2, 1, 3, 2, 2]",2.2236938,0.22369384765625
restored,1.4,0.91652,"[2, 2, 1, 2, 1, 2, 2, 1, -1, 2]",1.1762938,0.22370615005493155
exposes,-0.5,0.92195,"[-1, -1, 0, 2, -1, 0, -1, -1, -1, -1]",-0.72377443,0.22377443313598633
rigid,-0.5,0.67082,"[-2, -1, 0, 0, 0, 0, 0, -1, -1, 0]",-0.27620697,0.22379302978515625
overweight,-1.5,0.67082,"[-3, -2, -1, -1, -1, -2, -1, -2, -1, -1]",-1.7241678,0.2241678237915039
defectiveness,-1.8,0.74833,"[-1, -1, -2, -2, -2, -3, -1, -1, -2, -3]",-2.0241902,0.2241901874542236
suck,-1.9,1.04403,"[-1, -1, -1, -2, -1, -1, -3, -4, -3, -2]",-1.6757808,0.22421922683715811
error,-1.7,0.64031,"[-2, -1, -2, -1, -2, -1, -1, -2, -3, -2]",-1.4757161,0.2242838859558105
haplessness,-1.4,1.0198,"[-1, -2, 0, -1, -1, -1, -1, -2, -1, -4]",-1.6244102,0.22441015243530282
negative,-2.7,0.9,"[-1, -3, -3, -2, -4, -2, -2, -4, -3, -3]",-2.4753728,0.22462720870971697
diviners,1.2,1.16619,"[0, 1, 0, 2, 2, 0, 3, 1, 3, 0]",0.97524786,0.22475214004516597
longingly,0.7,0.45826,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]",0.47498846,0.22501153945922847
problems,-1.7,0.78102,"[-2, -1, -1, -3, -2, -1, -3, -1, -1, -2]",-1.4748104,0.22518963813781734
champertous,0.3,0.78102,"[0, 0, 0, 1, -1, 2, 1, 0, 0, 0]",0.074769974,0.22523002624511718
embarrassment,-1.9,0.53852,"[-2, -2, -1, -2, -2, -2, -2, -1, -3, -2]",-2.1254194,0.22541937828063974
amazed,2.2,1.07703,"[1, 0, 3, 2, 2, 4, 3, 3, 2, 2]",2.4255238,0.22552375793457013
flexible,0.9,0.83066,"[2, 1, 0, 0, 1, 2, 0, 1, 2, 0]",0.67443895,0.22556104660034182
adorner,1.3,0.78102,"[1, 1, 1, 2, 1, 3, 1, 2, 1, 0]",1.0743952,0.2256048202514649
irritabilities,-1.7,0.64031,"[-2, -2, -2, -1, -1, -1, -1, -2, -3, -2]",-1.9257364,0.22573642730712895
risk,-1.1,0.7,"[-1, -1, 0, -2, -1, 0, -2, -2, -1, -1]",-0.87409353,0.22590646743774423
paradox,-0.4,0.66332,"[-1, -1, 0, 0, -1, 0, -1, 0, 1, -1]",-0.17372036,0.22627964019775393
screwball,-0.2,0.87178,"[0, -1, 0, 0, 1, 1, -1, 0, -2, 0]",0.026350975,0.2263509750366211
invigorations,1.2,0.87178,"[1, -1, 2, 2, 1, 1, 2, 1, 2, 1]",0.973557,0.22644300460815425
terrorising,-3.0,0.44721,"[-3, -3, -3, -3, -2, -3, -4, -3, -3, -3]",-3.22665,0.22664999961853027
trustor,0.4,0.66332,"[2, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0.6266718,0.22667179107666013
hugs,2.2,0.74833,"[3, 2, 1, 2, 2, 2, 3, 1, 3, 3]",2.426693,0.2266929626464842
sincereness,1.8,0.74833,"[3, 1, 1, 2, 2, 3, 1, 2, 2, 1]",2.0269408,0.22694082260131831
dickhead,-3.1,0.53852,"[-4, -3, -3, -3, -4, -2, -3, -3, -3, -3]",-2.8730335,0.22696647644042978
violators,-1.9,1.51327,"[-2, 2, -3, -4, -1, -2, -3, -2, -2, -2]",-1.6729681,0.22703185081481925
importantly,1.3,0.78102,"[2, 1, 2, 1, 2, 2, 0, 0, 1, 2]",1.072856,0.22714405059814458
battlewagons,-0.5,0.67082,"[0, 0, 0, -1, -2, -1, 0, -1, 0, 0]",-0.2724619,0.2275381088256836
plays,1.0,1.09545,"[0, 2, 0, 2, 0, 1, 0, 2, 3, 0]",0.7722287,0.22777128219604492
murderously,-3.1,0.9434,"[-3, -4, -4, -4, -3, -4, -1, -2, -3, -3]",-2.8719068,0.22809324264526376
whimsical,0.3,1.61555,"[2, 1, 1, 2, -1, 1, -3, -2, 1, 1]",0.5286789,0.22867889404296876
pleasantry,2.0,0.7746,"[2, 2, 1, 1, 4, 2, 2, 2, 2, 2]",1.7711434,0.22885656356811523
heronry,0.1,0.9434,"[0, 0, 0, 0, 0, 2, 0, 1, -2, 0]",0.32910442,0.2291044235229492
engagements,0.6,0.8,"[1, 0, 0, 2, 0, 2, 0, 0, 1, 0]",0.37088156,0.22911844253540037
admirability,2.4,0.4899,"[2, 3, 3, 3, 3, 2, 2, 2, 2, 2]",2.1701903,0.22980966567993155
respectively,1.4,0.91652,"[0, 0, 2, 2, 0, 2, 2, 2, 2, 2]",1.1701479,0.22985210418701163
rigorously,-0.4,1.28062,"[0, 2, 1, 0, -1, 0, -1, -1, -3, -1]",-0.17005062,0.22994937896728518
graces,1.6,0.4899,"[2, 2, 2, 1, 1, 2, 1, 2, 1, 2]",1.8301888,0.23018875122070304
liars,-2.4,0.66332,"[-3, -2, -2, -3, -2, -1, -3, -3, -2, -3]",-2.630279,0.23027906417846689
traumatizing,-2.3,1.61555,"[-4, -2, -2, -3, -2, -4, -4, 1, 0, -3]",-2.0695994,0.2304006099700926
wimpish,-1.6,0.4899,"[-2, -1, -2, -1, -2, -2, -1, -2, -2, -1]",-1.369587,0.23041305541992196
lowlihead,-0.3,1.34536,"[-1, -1, 1, -3, 0, 0, 1, -1, 2, -1]",-0.5304384,0.2304384231567383
maniacally,-1.7,0.78102,"[-1, -2, -1, -2, -3, -2, -1, -3, -1, -1]",-1.9305134,0.23051338195800786
idealisms,0.8,0.9798,"[0, 2, 3, 1, 0, 0, 1, 0, 0, 1]",0.5694232,0.23057680130004887
tenderfoot,-0.1,0.53852,"[-1, 1, 0, 0, 0, 0, 0, -1, 0, 0]",-0.33079004,0.23079004287719726
destroy,-2.5,0.67082,"[-2, -3, -3, -1, -3, -3, -3, -2, -2, -3]",-2.269167,0.2308330535888672
gloomy,-0.6,1.56205,"[2, -1, -2, -2, -2, -1, 1, -2, 2, -1]",-0.36901617,0.230983829498291
dumbly,-1.3,1.00499,"[-2, -1, -2, -3, 1, -2, -1, -1, -1, -1]",-1.0689974,0.23100261688232426
envying,-0.8,1.32665,"[-1, -1, -1, -1, -3, 2, -2, -1, 1, -1]",-0.5685582,0.23144178390502934
lagged,-1.2,0.6,"[-2, -2, -1, -2, -1, -1, 0, -1, -1, -1]",-0.96809053,0.23190946578979488
pressurizes,-0.2,0.87178,"[0, 0, -1, 1, 0, 0, -1, -2, 0, 1]",-0.43242073,0.2324207305908203
cuties,2.2,0.6,"[3, 2, 2, 2, 3, 1, 2, 2, 3, 2]",2.4325461,0.23254613876342756
safetyman,0.3,0.64031,"[0, 0, 0, 0, 2, 0, 1, 0, 0, 0]",0.5325799,0.23257989883422853
frisky,1.0,1.48324,"[1, -2, 1, 1, 1, 3, 3, 2, -1, 1]",1.2329435,0.23294353485107422
discomforts,-1.3,0.9,"[-2, -1, -2, -1, -1, -2, -2, -1, 1, -2]",-1.5335484,0.23354835510253902
hurtfully,-2.6,0.66332,"[-3, -2, -3, -2, -2, -3, -4, -3, -2, -2]",-2.3663533,0.23364672660827646
sentimentalizing,0.8,0.87178,"[1, 1, 1, 1, 2, 0, -1, 1, 0, 2]",1.0338345,0.2338344573974609
terrorises,-3.3,0.45826,"[-3, -3, -4, -3, -3, -4, -4, -3, -3, -3]",-3.5339274,0.23392744064331072
cancelling,-0.8,0.74833,"[0, 0, -1, 0, -1, -1, 0, -2, -1, -2]",-1.0339751,0.23397512435913081
struggle,-1.3,0.45826,"[-2, -1, -2, -1, -2, -1, -1, -1, -1, -1]",-1.0659881,0.23401193618774419
helpless,-2.0,0.63246,"[-2, -3, -2, -2, -2, -3, -1, -2, -1, -2]",-1.7659042,0.23409581184387207
blameful,-1.7,0.45826,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -1]",-1.9343905,0.23439054489135747
neglects,-2.2,0.4,"[-2, -2, -2, -2, -2, -3, -2, -3, -2, -2]",-2.4344792,0.23447923660278303
persecute,-2.1,1.37477,"[-2, -3, -2, 1, -1, -4, -2, -2, -2, -4]",-1.8651223,0.23487768173217782
impressure,0.6,1.0198,"[-1, 0, 0, 0, 0, 2, 0, 2, 1, 2]",0.8353052,0.23530521392822268
favorites,1.8,0.6,"[1, 2, 1, 3, 2, 2, 1, 2, 2, 2]",2.035335,0.23533506393432613
expelled,-1.0,1.94936,"[-1, -2, 2, -2, -4, -3, -2, 1, 2, -1]",-1.2353497,0.2353496551513672
deficit,-1.7,0.78102,"[-3, -3, -2, -1, -2, -2, -1, -1, -1, -1]",-1.93537,0.23536996841430669
banish,-1.9,0.9434,"[-2, -2, -2, -2, -1, -3, -1, -1, -1, -4]",-1.6642408,0.23575916290283194
joy,2.8,0.74833,"[3, 2, 3, 4, 3, 3, 3, 1, 3, 3]",2.5635257,0.2364743232727049
stuck,-1.0,0.44721,"[-1, -1, -1, -1, 0, -1, -1, -1, -1, -2]",-0.76351786,0.2364821434020996
bailout,-0.4,1.35647,"[-1, 0, 0, 2, -2, -1, -2, 2, -1, -1]",-0.6365528,0.2365528106689453
biased,-1.1,0.83066,"[-2, -2, -1, -1, -1, -1, -1, 1, -2, -1]",-0.86338425,0.2366157531738282
apologizing,-0.3,1.34536,"[1, 2, -1, 1, -1, 0, -3, 0, -1, -1]",-0.06328726,0.23671274185180663
excruciatingly,-2.9,1.04403,"[-2, -4, -3, -2, -4, -1, -2, -3, -4, -4]",-2.6632347,0.23676528930664054
obsessing,-1.4,0.66332,"[-1, -1, -1, -2, -1, -1, -1, -3, -2, -1]",-1.1630721,0.2369278907775878
agreeable,1.8,0.4,"[2, 1, 2, 1, 2, 2, 2, 2, 2, 2]",1.5630369,0.23696308135986333
champers,0.5,0.67082,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 2]",0.26271248,0.2372875213623047
hid,-0.4,0.4899,"[0, -1, 0, 0, -1, -1, -1, 0, 0, 0]",-0.63730335,0.237303352355957
sentencing,-0.6,1.8,"[-2, 0, -3, -2, 2, 3, 0, -1, -1, -2]",-0.8373146,0.23731460571289065
abilities,1.0,0.63246,"[1, 2, 0, 1, 0, 1, 1, 1, 1, 2]",0.762517,0.23748302459716797
saddened,-2.4,0.4899,"[-3, -2, -3, -2, -3, -3, -2, -2, -2, -2]",-2.1622884,0.23771157264709464
distress,-2.4,0.8,"[-1, -2, -2, -3, -3, -4, -3, -2, -2, -2]",-2.6380966,0.23809657096862802
disturbance,-1.6,0.8,"[-1, -2, -1, -2, -2, -3, -1, -2, 0, -2]",-1.8383176,0.2383176326751708
droopy,-0.8,0.74833,"[-1, -1, 0, -1, -2, 0, 0, -1, 0, -2]",-0.5615568,0.23844318389892583
benefices,1.1,0.83066,"[1, 1, 1, 0, 1, 0, 1, 1, 2, 3]",0.86143637,0.23856363296508798
securitization,0.2,1.07703,"[0, 0, 1, -1, 1, 0, -2, 0, 2, 1]",-0.03892374,0.2389237403869629
punishers,-2.6,0.8,"[-3, -3, -3, -3, -2, -2, -4, -2, -1, -3]",-2.3609655,0.23903450965881357
keener,0.5,1.20416,"[-1, -1, 0, -1, 2, 1, 2, 2, 1, 0]",0.2607851,0.23921489715576172
radiant,2.1,0.83066,"[4, 2, 2, 2, 2, 1, 1, 3, 2, 2]",2.3395243,0.23952426910400382
amusingness,1.8,0.6,"[1, 2, 3, 2, 1, 2, 2, 1, 2, 2]",1.5604205,0.23957948684692387
conflictive,-1.8,0.6,"[-2, -2, -2, -2, -1, -1, -3, -2, -1, -2]",-2.039858,0.23985810279846187
uglifying,-2.2,0.4,"[-3, -2, -2, -2, -2, -2, -2, -2, -3, -2]",-1.9594476,0.24055237770080584
giggle,1.8,0.9798,"[2, 2, 2, 2, 2, 3, 2, -1, 2, 2]",2.0406265,0.2406265258789062
freeholders,0.1,0.83066,"[0, 0, 1, 0, 0, 1, 0, -2, 0, 1]",0.3407812,0.24078121185302734
shrew,-0.9,1.04403,"[-2, -1, -2, -2, 1, 0, 0, 0, -1, -2]",-0.65909624,0.24090375900268557
walkouts,-0.7,1.00499,"[-2, -2, -1, 0, -1, -1, -1, 1, -1, 1]",-0.94106627,0.24106626510620122
isolation,-1.7,0.78102,"[-1, -3, -1, -2, -2, -1, -3, -1, -2, -1]",-1.4587405,0.24125952720642085
freelancing,0.4,0.66332,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0.15847158,0.24152841567993166
amusements,1.5,1.0247,"[2, 1, 2, 1, 2, 2, 3, -1, 2, 1]",1.25846,0.24153995513916016
horrent,-0.9,1.04403,"[0, -1, -2, 0, 0, -3, -1, 0, -2, 0]",-0.65845823,0.24154176712036135
terrors,-2.6,0.4899,"[-2, -3, -3, -3, -2, -2, -3, -2, -3, -3]",-2.841553,0.241552972793579
wish,1.7,1.1,"[2, 1, 1, 0, 2, 1, 3, 2, 4, 1]",1.4583998,0.241600227355957
depressingly,-2.3,0.45826,"[-2, -3, -2, -2, -2, -3, -3, -2, -2, -2]",-2.0583007,0.24169926643371564
skepticism,-1.0,0.89443,"[0, 0, -1, -1, -1, -1, 0, -1, -3, -2]",-1.2418504,0.2418503761291504
blamefully,-1.6,0.66332,"[-1, -2, -1, -1, -2, -1, -1, -2, -2, -3]",-1.8423262,0.24232616424560538
cheers,2.1,1.3,"[2, 2, 1, 3, 2, 3, 3, 4, -1, 2]",1.8574252,0.24257478713989267
nicety,1.2,1.07703,"[1, 0, 4, 1, 1, 0, 2, 1, 1, 1]",1.4427333,0.24273328781127934
deadlock,-1.4,0.8,"[-2, -2, -1, -3, -1, 0, -2, -1, -1, -1]",-1.157227,0.2427729606628417
snubbing,-0.9,1.13578,"[-2, -1, -1, -1, 1, -1, -3, 1, -1, -1]",-1.1428666,0.24286661148071287
diving,0.3,0.45826,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.5429959,0.2429959297180176
woebegoneness,-1.1,1.37477,"[-3, 0, -1, 1, -1, -4, 0, -1, -1, -1]",-0.8569932,0.2430068016052247
eviler,-2.1,1.13578,"[-2, -1, -3, -2, -4, -3, -1, -2, 0, -3]",-2.343361,0.24336090087890616
indoctrinate,-1.4,0.91652,"[-1, -3, -1, 0, -2, -1, -2, -2, 0, -2]",-1.643426,0.24342594146728525
ashamedly,-1.7,0.64031,"[-2, -2, -2, -1, -2, -3, -1, -2, -1, -1]",-1.9434593,0.2434592723846436
adorers,2.1,0.7,"[3, 2, 1, 2, 2, 2, 3, 2, 3, 1]",1.85642,0.24357995986938485
bullying,-2.9,0.7,"[-3, -2, -3, -2, -4, -2, -3, -3, -4, -3]",-3.143822,0.24382195472717294
offensive,-2.0,1.48324,"[-3, -3, -3, -2, -1, -2, 2, -2, -3, -3]",-1.756161,0.24383902549743652
sobbing,-1.6,1.49666,"[1, -2, -3, -1, -1, -3, 1, -2, -3, -3]",-1.3561287,0.24387130737304696
depressant,-1.6,1.11355,"[-3, -1, 0, -1, 0, -2, -3, -1, -3, -2]",-1.8441243,0.24412431716918936
sentimentalists,0.7,0.78102,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 2]",0.4557209,0.24427909851074214
terrorisms,-3.2,0.6,"[-4, -4, -4, -3, -3, -3, -2, -3, -3, -3]",-3.4446065,0.2446065425872801
splendiferously,1.9,1.3,"[2, 4, 4, 3, 0, 1, 1, 1, 2, 1]",1.6553464,0.24465360641479483
ridiculous,-1.5,0.67082,"[-3, -2, -1, -1, -2, -1, -2, -1, -1, -1]",-1.2551227,0.24487733840942383
disheartenment,-2.3,0.45826,"[-3, -2, -3, -2, -2, -2, -2, -3, -2, -2]",-2.5449603,0.24496026039123553
inhibitors,-1.0,0.7746,"[-1, 0, -2, -1, -2, -2, 0, 0, -1, -1]",-0.75498104,0.24501895904541016
meaningful,1.3,0.9,"[0, 0, 2, 1, 1, 3, 1, 2, 2, 1]",1.5453086,0.2453085899353027
smothery,-1.1,0.7,"[-2, 0, -2, -1, -2, -1, 0, -1, -1, -1]",-0.854651,0.24534902572631845
collisions,-1.1,0.7,"[0, -2, -1, 0, -1, -1, -2, -2, -1, -1]",-0.85454607,0.24545392990112314
advantages,1.5,0.80623,"[1, 0, 3, 1, 1, 1, 2, 2, 2, 2]",1.2545142,0.24548578262329102
fright,-1.6,1.35647,"[-2, -1, 0, -3, -2, -4, 1, -1, -2, -2]",-1.845643,0.24564304351806632
controversially,-1.1,1.04403,"[0, -1, -1, -2, -1, -2, -1, 1, -3, -1]",-0.8542819,0.24571809768676767
dreams,1.7,1.1,"[2, 2, 3, 0, 1, 1, 1, 4, 1, 2]",1.94596,0.2459600448608399
itchy,-1.1,0.53852,"[-1, -1, -1, -1, -2, 0, -1, -1, -2, -1]",-1.346396,0.24639596939086905
succession,0.8,0.87178,"[2, 0, 1, 2, 0, 2, 1, 0, 0, 0]",0.5528779,0.2471220970153809
problematics,-1.3,1.1,"[0, -1, -1, 0, -2, -1, -4, -1, -2, -1]",-1.5472806,0.2472805500030517
undeserving,-1.9,0.3,"[-2, -2, -1, -2, -2, -2, -2, -2, -2, -2]",-2.14767,0.24767003059387216
indecision,-0.8,0.6,"[-1, 0, -1, 0, -1, -1, -2, 0, -1, -1]",-1.0477109,0.24771089553833003
dismay,-1.8,0.87178,"[-3, -1, -1, -3, -1, -1, -3, -1, -2, -2]",-1.5520775,0.24792246818542485
reliant,0.5,1.20416,"[0, 2, -1, 1, 0, 1, 2, -1, 2, -1]",0.25203514,0.24796485900878906
devotional,1.2,1.16619,"[0, 1, 0, 2, 2, 1, 0, 0, 3, 3]",0.95192957,0.2480704307556152
lowered,-0.5,1.11803,"[-1, -1, -2, -1, -1, 2, -1, -1, 1, 0]",-0.25161982,0.24838018417358398
discomforted,-1.6,0.8,"[-1, -1, -1, -2, -3, -3, -1, -1, -1, -2]",-1.8485358,0.24853577613830558
lamenters,-0.5,0.67082,"[-1, 0, 0, -1, -1, 0, 0, 0, -2, 0]",-0.25122786,0.24877214431762695
interrupts,-1.3,0.64031,"[-1, -1, -2, -1, -1, -1, -1, -1, -3, -1]",-1.051158,0.24884204864501958
gossipry,-1.2,1.16619,"[1, 0, -1, -2, -1, -1, -1, -3, -3, -1]",-0.9511509,0.2488491058349609
funnel,0.1,0.53852,"[1, 0, 0, 0, 0, -1, 0, 0, 1, 0]",0.34895706,0.24895706176757812
suspicious,-1.5,0.67082,"[-1, -2, -1, -1, -2, -1, -2, -1, -3, -1]",-1.2510428,0.24895715713500977
feuds,-1.4,1.0198,"[-2, -2, -2, -1, -1, -1, -3, -2, 1, -1]",-1.1508994,0.24910058975219718
amazonstone,1.0,1.61245,"[0, 0, 0, 0, 4, 4, 2, 0, 0, 0]",1.2492394,0.24923944473266602
divinise,0.5,1.36015,"[0, 2, 0, 0, 0, 0, 0, -2, 2, 3]",0.7493777,0.24937772750854492
weird,-0.7,0.64031,"[-1, 0, 0, -1, -1, -1, 0, 0, -2, -1]",-0.45057058,0.2494294166564941
appreciation,2.3,0.9,"[3, 3, 2, 1, 1, 3, 3, 1, 3, 3]",2.5497289,0.24972887039184588
unconvinced,-1.6,0.8,"[-2, -3, -1, -2, -1, 0, -2, -2, -1, -2]",-1.3502645,0.249735450744629
speculative,0.4,1.11355,"[1, -1, 1, 0, -1, -1, 1, 2, 2, 0]",0.15017605,0.24982395172119143
